test_name,P,N,tp,tn,fp,fn,total_tokens,input_tokens,output_tokens,model_name,duration_seconds
s1_IP,4598,90490,276,90490,0,4322,0,0,0,None,67.72976875305176
s1_domain,4598,90490,42,89790,700,4556,0,0,0,None,108.5656225681305
s1_file,4598,90490,4550,90490,0,48,0,0,0,None,77.6528160572052
s2_IP,15073,382953,170,382953,0,14903,0,0,0,None,67.8394033908844
s2_domain,15073,382953,26,375081,7872,15047,0,0,0,None,105.36668562889099
s2_file,15073,382953,15032,382952,1,41,0,0,0,None,78.14471888542175
s3_IP,5165,123164,1178,123164,0,3987,0,0,0,None,64.27249336242676
s3_domain,5165,123164,6,122099,1065,5159,0,0,0,None,105.47657823562622
s3_file,5165,123164,3954,123164,0,1211,0,0,0,None,77.88217520713806
s4_IP,18062,107551,390,107551,0,17672,0,0,0,None,65.13243770599365
s4_domain,18062,107551,11,106564,987,18051,0,0,0,None,108.09079146385193
s4_file,18062,107551,17831,107551,0,231,0,0,0,None,83.3490686416626
optc1_C1,37059,1288225,0,1288225,0,37059,0,0,0,None,102.66978979110718
optc1_C2,37059,1288225,0,1288225,0,37059,0,0,0,None,63.28140878677368
optc1_C3,37059,1288225,0,1288225,0,37059,0,0,0,None,60.229061126708984
optc2_C1,36588,2792941,0,2792941,0,36588,0,0,0,None,79.85224461555481
optc2_C2,36588,2792941,0,2792941,0,36588,0,0,0,None,69.26578998565674
optc2_C3,36588,2792941,0,2792941,0,36588,0,0,0,None,98.71356701850891
optc3_C1,8452,1155092,0,1155092,0,8452,0,0,0,None,66.05719804763794
optc3_C2,8452,1155092,0,1155092,0,8452,0,0,0,None,3128.5279688835144
optc3_C3,8452,1155092,0,1155092,0,8452,0,0,0,None,63.81368041038513
