test_name,P,N,tp,tn,fp,fn,total_tokens,input_tokens,output_tokens,model_name,duration_seconds
s1_IP,4598,90490,4598,90490,0,0,0,0,0,llama3-3-70b,16620.237636566162
s1_domain,4598,90490,4588,90490,0,10,0,0,0,llama3-3-70b,11258.453241109848
s1_file,4598,90490,4554,89790,700,44,0,0,0,llama3-3-70b,7589.145409345627
s2_IP,15073,382953,15073,382858,95,0,0,0,0,llama3-3-70b,14167.965121984482
s2_domain,15073,382953,15055,382661,292,18,0,0,0,llama3-3-70b,9315.607950687408
s2_file,15073,382953,15073,382953,0,0,0,0,0,llama3-3-70b,9253.025317907333
s3_IP,5165,123164,5024,102553,20611,141,0,0,0,llama3-3-70b,11259.189594507217
s3_domain,5165,123164,5018,123164,0,147,0,0,0,llama3-3-70b,13447.076117038727
s3_file,5165,123164,5018,119660,3504,147,0,0,0,llama3-3-70b,8184.733913183212
s4_IP,18062,107551,17850,107476,75,212,0,0,0,llama3-3-70b,16080.466435670853
s4_domain,18062,107551,17850,106904,647,212,0,0,0,llama3-3-70b,10959.986797571182
s4_file,18062,107551,17832,107219,332,230,0,0,0,llama3-3-70b,10160.923241376877
optc1_C1,37059,1288225,1008,1286294,1931,36051,0,0,0,llama3-3-70b,10114.17354297638
optc1_C2,37059,1288225,0,1288225,0,37059,0,0,0,llama3-3-70b,11267.9517390728
optc1_C3,37059,1288225,1008,1246655,41570,36051,0,0,0,llama3-3-70b,10533.86561203003
optc2_C1,36588,2792941,18192,2792941,0,18396,0,0,0,llama3-3-70b,11191.910787582397
